id,title,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,genres
587,Big Fish,70000000,123200000,125,7.4866,7.753,7832,2003-12-10,"Adventure, Fantasy, Drama"
594,The Terminal,60000000,219417255,128,7.2169,7.356,8795,2004-06-17,"Comedy, Drama"
595,To Kill a Mockingbird,2000000,13129846,129,6.0081,7.99,2894,1962-12-20,Drama
597,Titanic,200000000,2264162353,194,31.713,7.902,27382,1997-12-18,"Drama, Romance"
598,City of God,3300000,30641770,129,14.8312,8.428,8283,2002-08-30,"Drama, Crime"
599,Sunset Boulevard,1752000,5000000,110,9.4271,8.275,2969,1950-08-10,Drama
603,The Matrix,63000000,463517383,136,33.4511,8.3,28226,1999-03-31,"Action, Science Fiction"
602,Independence Day,75000000,817400891,145,11.2798,6.916,10549,1996-07-02,"Action, Adventure, Science Fiction"
605,The Matrix Revolutions,150000000,424988211,129,13.4346,6.755,10934,2003-11-05,"Adventure, Action, Thriller, Science Fiction"
607,Men in Black,90000000,589390539,98,11.2395,7.2,14964,1997-07-02,"Action, Adventure, Comedy, Science Fiction"
608,Men in Black II,140000000,445135288,88,7.5012,6.388,10739,2002-07-03,"Action, Comedy, Science Fiction"
270946,Penguins of Madagascar,132000000,373515621,92,14.4282,6.538,4520,2014-11-22,"Family, Animation, Adventure, Comedy"
16996,17 Again,20000000,136300000,102,6.6807,6.319,5468,2009-03-11,"Comedy, Fantasy"
615,The Passion of the Christ,30000000,610063468,127,15.4082,7.547,5254,2004-02-25,Drama
616,The Last Samurai,140000000,456800000,154,11.0055,7.61,7629,2003-12-05,"Drama, Action, War"
8810,Mad Max 2,2000000,24600832,96,6.8644,7.392,4224,1981-12-24,"Action, Thriller, Science Fiction"
620,Ghostbusters,30000000,296640120,105,10.0012,7.498,9827,1984-06-08,"Comedy, Fantasy"
621,Grease,6000000,396271103,110,9.2294,7.367,7719,1978-06-16,"Romance, Comedy"
627,Trainspotting,4000000,71981823,94,8.4899,7.959,10479,1996-02-23,"Drama, Crime"
629,The Usual Suspects,6000000,23300000,106,13.4649,8.167,11523,1995-07-19,"Drama, Crime, Thriller"
1032823,Trap,30000000,83677281,105,10.622,6.235,2914,2024-07-31,"Crime, Horror, Thriller"
634,Bridget Jones's Diary,25000000,281929795,97,8.9009,6.743,5552,2001-04-13,"Comedy, Romance, Drama"
